Type,Start,End,Duration,Start Conditions,Start Location,End Conditions,Notes,aStart,aEnd,timeToStart,timeToEnd
feed,2021-08-23T23:01Z,2021-08-23T23:12Z,00:10,,breast,00:10L,,2021-08-23T14:01Z,2021-08-23T14:12Z,23.016666666666666,23.2
sleep,2021-08-23T23:12Z,2021-08-23T23:44Z,,,,,,2021-08-23T14:12Z,2021-08-23T14:44Z,23.2,23.733333333333334
feed,2021-08-23T23:44Z,2021-08-23T23:54Z,00:10,00:10R,breast,,,2021-08-23T14:44Z,2021-08-23T14:54Z,23.733333333333334,23.9
sleep,2021-08-23T23:54Z,2021-08-24T01:00Z,,,,,,2021-08-23T14:54Z,2021-08-23T16:00Z,23.9,25
feed,2021-08-24T01:00Z,2021-08-24T01:30Z,00:30,,breast,00:30L,,2021-08-23T16:00Z,2021-08-23T16:30Z,25,25.5
sleep,2021-08-24T01:30Z,2021-08-24T02:25Z,,,,,,2021-08-23T16:30Z,2021-08-23T17:25Z,25.5,26.416666666666668
feed,2021-08-24T02:25Z,2021-08-24T02:45Z,00:20,00:17R,breast,00:02L,,2021-08-23T17:25Z,2021-08-23T17:45Z,26.416666666666668,26.75
sleep,2021-08-24T02:45Z,2021-08-24T02:55Z,,,,,,2021-08-23T17:45Z,2021-08-23T17:55Z,26.75,26.916666666666668
feed,2021-08-24T02:55Z,2021-08-24T03:05Z,00:10,00:01R,breast,00:08L,,2021-08-23T17:55Z,2021-08-23T18:05Z,26.916666666666668,27.083333333333332
sleep,2021-08-24T03:05Z,2021-08-24T03:19Z,,,,,,2021-08-23T18:05Z,2021-08-23T18:19Z,27.083333333333332,27.316666666666666
feed,2021-08-24T03:19Z,2021-08-24T03:39Z,00:20,00:20R,breast,,,2021-08-23T18:19Z,2021-08-23T18:39Z,27.316666666666666,27.65
sleep,2021-08-24T03:39Z,2021-08-24T04:03Z,,,,,,2021-08-23T18:39Z,2021-08-23T19:03Z,27.65,28.05
feed,2021-08-24T04:03Z,2021-08-24T04:24Z,00:20,,breast,00:20L,,2021-08-23T19:03Z,2021-08-23T19:24Z,28.05,28.4
sleep,2021-08-24T04:24Z,2021-08-24T05:14Z,,,,,,2021-08-23T19:24Z,2021-08-23T20:14Z,28.4,29.233333333333334
